Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"MUC5B","Mucin 5B, Oligomeric Mucus/Gel-Forming","Protein Coding","40","GC11P001263","6.79556560516357","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC5B"
"ABCA4","ATP Binding Cassette Subfamily A Member 4","Protein Coding","44","GC01M093992","6.68748140335083","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA4"
"BEST1","Bestrophin 1","Protein Coding","41","GC11P061949","6.68268823623657","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BEST1"
"MBTPS2","Membrane Bound Transcription Factor Peptidase, Site 2","Protein Coding","42","GC0XP021839","6.56945371627808","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBTPS2"
"RHO","Rhodopsin","Protein Coding","45","GC03P132419","6.53729724884033","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHO"
"EP300","E1A Binding Protein P300","Protein Coding","49","GC22P041091","6.45293521881104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EP300"
"RDH12","Retinol Dehydrogenase 12","Protein Coding","43","GC14P067701","6.4163646697998","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RDH12"
"CRB1","Crumbs Cell Polarity Complex Component 1","Protein Coding","41","GC01P197170","6.4163646697998","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRB1"
"ELN","Elastin","Protein Coding","43","GC07P074027","6.38543939590454","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELN"
"SFTPC","Surfactant Protein C","Protein Coding","43","GC08P022156","6.35051727294922","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFTPC"
"CLDN1","Claudin 1","Protein Coding","45","GC03M190305","6.24095487594604","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLDN1"
"PARN","Poly(A)-Specific Ribonuclease","Protein Coding","44","GC16M014435","6.2335000038147","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARN"
"RTEL1","Regulator Of Telomere Elongation Helicase 1","Protein Coding","39","GC20P063658","6.2335000038147","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RTEL1"
"ACE","Angiotensin I Converting Enzyme","Protein Coding","48","GC17P063477","6.22015476226807","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE"
"TERC","Telomerase RNA Component","RNA Gene","28","GC03M169765","6.1976466178894","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERC"
"RLBP1","Retinaldehyde Binding Protein 1","Protein Coding","43","GC15M089209","6.14732074737549","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RLBP1"
"IMPG2","Interphotoreceptor Matrix Proteoglycan 2","Protein Coding","37","GC03M101222","6.14732074737549","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IMPG2"
"MIR936","MicroRNA 936","RNA Gene","16","GC10M104048","6.10439682006836","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR936"
"KRT18","Keratin 18","Protein Coding","46","GC12P052948","6.10218811035156","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT18"
"HFE-AS1","HFE Antisense RNA 1","RNA Gene","8","GC06M026085","6.09308481216431","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HFE-AS1"
"PSENEN","Presenilin Enhancer, Gamma-Secretase Subunit","Protein Coding","43","GC19P043516","6.02917528152466","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSENEN"
"B3GALT6","Beta-1,3-Galactosyltransferase 6","Protein Coding","37","GC01P001232","6.01802062988281","https://www.genecards.org/cgi-bin/carddisp.pl?gene=B3GALT6"
"TNF","Tumor Necrosis Factor","Protein Coding","48","GC06P064135","6.00226640701294","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"SFTPA1","Surfactant Protein A1","Protein Coding","40","GC10P088437","5.99970960617065","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFTPA1"
"ECM1","Extracellular Matrix Protein 1","Protein Coding","43","GC01P150508","5.97056865692139","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ECM1"
"AP1B1","Adaptor Related Protein Complex 1 Subunit Beta 1","Protein Coding","42","GC22M029327","5.9369945526123","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AP1B1"
"ERCC6","ERCC Excision Repair 6, Chromatin Remodeling Factor","Protein Coding","44","GC10M049454","5.91933012008667","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERCC6"
"TIMP1","TIMP Metallopeptidase Inhibitor 1","Protein Coding","42","GC0XP047583","5.91748428344727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMP1"
"LRP1","LDL Receptor Related Protein 1","Protein Coding","45","GC12P057128","5.9054126739502","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP1"
"HLA-A","Major Histocompatibility Complex, Class I, A","Protein Coding","45","GC06P064092","5.87471008300781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-A"
"TP53","Tumor Protein P53","Protein Coding","51","GC17M007661","5.85054063796997","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"PDE6A","Phosphodiesterase 6A","Protein Coding","45","GC05M149857","5.83193206787109","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE6A"
"EXPH5","Exophilin 5","Protein Coding","36","GC11M108505","5.79627561569214","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXPH5"
"SERPINE1","Serpin Family E Member 1","Protein Coding","48","GC07P101127","5.76878547668457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINE1"
"ABCA3","ATP Binding Cassette Subfamily A Member 3","Protein Coding","47","GC16M002275","5.70008563995361","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA3"
"POLA1","DNA Polymerase Alpha 1, Catalytic Subunit","Protein Coding","44","GC0XP024693","5.69580698013306","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLA1"
"IFT140","Intraflagellar Transport 140","Protein Coding","39","GC16M004773","5.69346332550049","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFT140"
"IFT172","Intraflagellar Transport 172","Protein Coding","38","GC02M027827","5.69346332550049","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFT172"
"PRDM5","PR/SET Domain 5","Protein Coding","38","GC04M120686","5.68277215957642","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRDM5"
"NLRP1","NLR Family Pyrin Domain Containing 1","Protein Coding","43","GC17M005499","5.66087961196899","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLRP1"
"STAT1","Signal Transducer And Activator Of Transcription 1","Protein Coding","51","GC02M190908","5.52499055862427","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT1"
"KRT8","Keratin 8","Protein Coding","45","GC12M052897","5.5196533203125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT8"
"LOC110806263","TERT 5' Regulatory Region","Biological Region","2","GC05P001294","5.49768543243408","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC110806263"
"ZNF408","Zinc Finger Protein 408","Protein Coding","36","GC11P046700","5.44201469421387","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF408"
"SERPINA1","Serpin Family A Member 1","Protein Coding","47","GC14M094376","5.43082761764526","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINA1"
"GALK1","Galactokinase 1","Protein Coding","45","GC17M075751","5.41808986663818","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GALK1"
"CEP290","Centrosomal Protein 290","Protein Coding","39","GC12M088049","5.41325855255127","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEP290"
"BMP4","Bone Morphogenetic Protein 4","Protein Coding","47","GC14M053949","5.4129467010498","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP4"
"FAS","Fas Cell Surface Death Receptor","Protein Coding","48","GC10P088969","5.37962770462036","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS"
"TFAP2A","Transcription Factor AP-2 Alpha","Protein Coding","46","GC06M010393","5.35875034332275","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFAP2A"
"BMP6","Bone Morphogenetic Protein 6","Protein Coding","41","GC06P007726","5.29288482666016","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP6"
"IL6","Interleukin 6","Protein Coding","47","GC07P022725","5.28848791122437","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"CFTR","CF Transmembrane Conductance Regulator","Protein Coding","49","GC07P117287","5.2872519493103","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFTR"
"SMAD2","SMAD Family Member 2","Protein Coding","45","GC18M047809","5.26810741424561","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD2"
"NTRK1","Neurotrophic Receptor Tyrosine Kinase 1","Protein Coding","47","GC01P156815","5.26614046096802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTRK1"
"PPOX","Protoporphyrinogen Oxidase","Protein Coding","42","GC01P161252","5.25868940353394","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPOX"
"AHI1","Abelson Helper Integration Site 1","Protein Coding","40","GC06M135283","5.22339916229248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AHI1"
"MIR21","MicroRNA 21","RNA Gene","23","GC17P059841","5.1606068611145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR21"
"MMP2","Matrix Metallopeptidase 2","Protein Coding","51","GC16P055390","5.12719774246216","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP2"
"SOX17","SRY-Box Transcription Factor 17","Protein Coding","41","GC08P054457","5.09746742248535","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX17"
"IRF5","Interferon Regulatory Factor 5","Protein Coding","45","GC07P128937","5.08968353271484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF5"
"SLC39A13","Solute Carrier Family 39 Member 13","Protein Coding","41","GC11P047407","5.07606935501099","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC39A13"
"INPP5E","Inositol Polyphosphate-5-Phosphatase E","Protein Coding","40","GC09M136428","5.07521295547485","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INPP5E"
"WT1","WT1 Transcription Factor","Protein Coding","47","GC11M032365","5.0647611618042","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WT1"
"NDP","Norrin Cystine Knot Growth Factor NDP","Protein Coding","41","GC0XM043948","5.01145505905151","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDP"
"CD36","CD36 Molecule","Protein Coding","46","GC07P080369","5.00807476043701","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD36"
"CREBBP","CREB Binding Protein","Protein Coding","50","GC16M005093","4.99961996078491","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CREBBP"
"VPS13B","Vacuolar Protein Sorting 13 Homolog B","Protein Coding","37","GC08P099011","4.97153043746948","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS13B"
"MMP9","Matrix Metallopeptidase 9","Protein Coding","51","GC20P046008","4.96446895599365","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP9"
"RTEL1-TNFRSF6B","RTEL1-TNFRSF6B Readthrough (NMD Candidate)","RNA Gene","18","GC20P063657","4.96240186691284","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RTEL1-TNFRSF6B"
"CARMIL2","Capping Protein Regulator And Myosin 1 Linker 2","Protein Coding","28","GC16P067644","4.9440393447876","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CARMIL2"
"IL10","Interleukin 10","Protein Coding","45","GC01M206767","4.91662836074829","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10"
"STN1","STN1 Subunit Of CST Complex","Protein Coding","31","GC10M103905","4.89295387268066","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STN1"
"FGF2","Fibroblast Growth Factor 2","Protein Coding","45","GC04P122826","4.8862509727478","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF2"
"NOTCH1","Notch Receptor 1","Protein Coding","49","GC09M136957","4.88428735733032","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH1"
"PDGFRB","Platelet Derived Growth Factor Receptor Beta","Protein Coding","52","GC05M150113","4.87862777709961","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFRB"
"EGF","Epidermal Growth Factor","Protein Coding","48","GC04P109912","4.864013671875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGF"
"SMAD4","SMAD Family Member 4","Protein Coding","48","GC18P051028","4.86028957366943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD4"
"FLG","Filaggrin","Protein Coding","39","GC01M152274","4.85544872283936","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLG"
"ERCC8","ERCC Excision Repair 8, CSA Ubiquitin Ligase Complex Subunit","Protein Coding","40","GC05M060882","4.82255506515503","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERCC8"
"KRT3","Keratin 3","Protein Coding","40","GC12M052789","4.81395387649536","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT3"
"FGFR3","Fibroblast Growth Factor Receptor 3","Protein Coding","52","GC04P001795","4.75432395935059","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR3"
"SMARCAL1","SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily A Like 1","Protein Coding","42","GC02P216412","4.71871376037598","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCAL1"
"JAG1","Jagged Canonical Notch Ligand 1","Protein Coding","48","GC20M010637","4.71296262741089","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAG1"
"ATP7A","ATPase Copper Transporting Alpha","Protein Coding","44","GC0XP077956","4.70402908325195","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP7A"
"TGM5","Transglutaminase 5","Protein Coding","41","GC15M043346","4.70232725143433","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGM5"
"JAK2","Janus Kinase 2","Protein Coding","51","GC09P004985","4.69652414321899","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAK2"
"RPGR","Retinitis Pigmentosa GTPase Regulator","Protein Coding","40","GC0XM038269","4.67166233062744","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPGR"
"TRAF3IP2","TRAF3 Interacting Protein 2","Protein Coding","42","GC06M111555","4.66262483596802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAF3IP2"
"FLT4","Fms Related Receptor Tyrosine Kinase 4","Protein Coding","50","GC05M180607","4.64054870605469","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLT4"
"HLA-B","Major Histocompatibility Complex, Class I, B","Protein Coding","45","GC06M054132","4.63471460342407","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-B"
"FARSB","Phenylalanyl-TRNA Synthetase Subunit Beta","Protein Coding","41","GC02M222570","4.6318531036377","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FARSB"
"GJB6","Gap Junction Protein Beta 6","Protein Coding","43","GC13M020221","4.63184928894043","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GJB6"
"ATP11A","ATPase Phospholipid Transporting 11A","Protein Coding","40","GC13P112690","4.62390995025635","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP11A"
"DPP9","Dipeptidyl Peptidase 9","Protein Coding","40","GC19M004675","4.62390995025635","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPP9"
"FAM13A","Family With Sequence Similarity 13 Member A","Protein Coding","37","GC04M088725","4.62390995025635","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM13A"
"MIR711","MicroRNA 711","RNA Gene","14","GC03M048578","4.62390995025635","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR711"
"APC","APC Regulator Of WNT Signaling Pathway","Protein Coding","47","GC05P112707","4.62364864349365","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APC"
"IL1B","Interleukin 1 Beta","Protein Coding","46","GC02M112829","4.59412336349487","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B"
"PIK3CA","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha","Protein Coding","51","GC03P179148","4.55483198165894","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CA"
"IFNG","Interferon Gamma","Protein Coding","45","GC12M068154","4.55126619338989","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG"
"TGFBI","Transforming Growth Factor Beta Induced","Protein Coding","44","GC05P136027","4.52798938751221","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBI"
"CYP26C1","Cytochrome P450 Family 26 Subfamily C Member 1","Protein Coding","41","GC10P093060","4.52640151977539","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP26C1"
"HMOX1","Heme Oxygenase 1","Protein Coding","50","GC22P035380","4.46083498001099","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMOX1"
"TP63","Tumor Protein P63","Protein Coding","47","GC03P189598","4.45886325836182","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP63"
"CAV1","Caveolin 1","Protein Coding","46","GC07P116524","4.45619869232178","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAV1"
"LOC106780803","Tenascin XB Recombination Region","Biological Region","2","GC06P065380","4.42968988418579","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC106780803"
"ADA2","Adenosine Deaminase 2","Protein Coding","32","GC22M017179","4.4280309677124","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADA2"
"COL6A1","Collagen Type VI Alpha 1 Chain","Protein Coding","41","GC21P045981","4.41150903701782","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL6A1"
"KRT12","Keratin 12","Protein Coding","39","GC17M040861","4.39494514465332","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT12"
"TGFB3","Transforming Growth Factor Beta 3","Protein Coding","44","GC14M075958","4.38125801086426","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB3"
"CXCL8","C-X-C Motif Chemokine Ligand 8","Protein Coding","39","GC04P073740","4.37790966033936","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8"
"RHOA","Ras Homolog Family Member A","Protein Coding","45","GC03M049359","4.37666416168213","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHOA"
"DCN","Decorin","Protein Coding","44","GC12M091140","4.34607219696045","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCN"
"CPOX","Coproporphyrinogen Oxidase","Protein Coding","41","GC03M098576","4.33081865310669","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPOX"
"RPS4X","Ribosomal Protein S4 X-Linked","Protein Coding","37","GC0XM072255","4.32876777648926","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS4X"
