Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"MT-TL1","Mitochondrially Encoded TRNA-Leu (UUA/G) 1","RNA Gene","15","GCMTP003232","22.5309448242188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TL1"
"CEP85L","Centrosomal Protein 85 Like","Protein Coding","33","GC06M118460","22.0848865509033","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEP85L"
"MYPN","Myopalladin","Protein Coding","40","GC10P068106","20.4866714477539","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYPN"
"COL1A1","Collagen Type I Alpha 1 Chain","Protein Coding","48","GC17M050183","20.1731414794922","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL1A1"
"DSP","Desmoplakin","Protein Coding","48","GC06P007541","19.9522380828857","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DSP"
"CALR3","Calreticulin 3","Protein Coding","36","GC19M016450","19.8562049865723","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALR3"
"ALPK3","Alpha Kinase 3","Protein Coding","35","GC15P086460","19.6836357116699","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALPK3"
"KRAS","KRAS Proto-Oncogene, GTPase","Protein Coding","49","GC12M025204","19.3863658905029","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRAS"
"MAP2K1","Mitogen-Activated Protein Kinase Kinase 1","Protein Coding","52","GC15P066386","18.9427261352539","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K1"
"KRT14","Keratin 14","Protein Coding","45","GC17M041582","18.0342502593994","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT14"
"COL1A2","Collagen Type I Alpha 2 Chain","Protein Coding","45","GC07P094394","18.0094566345215","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL1A2"
"DES","Desmin","Protein Coding","45","GC02P219418","17.5921115875244","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DES"
"ALB","Albumin","Protein Coding","47","GC04P073397","17.5315017700195","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALB"
"NCF1","Neutrophil Cytosolic Factor 1","Protein Coding","46","GC07P074773","17.4408264160156","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCF1"
"MMP1","Matrix Metallopeptidase 1","Protein Coding","49","GC11M102810","17.3689727783203","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP1"
"MT-ATP8","Mitochondrially Encoded ATP Synthase Membrane Subunit 8","Protein Coding","30","GCMTP008368","17.2795524597168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-ATP8"
"TMEM43","Transmembrane Protein 43","Protein Coding","40","GC03P014124","17.2422122955322","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM43"
"HRAS","HRas Proto-Oncogene, GTPase","Protein Coding","50","GC11M001778","17.0471744537354","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRAS"
"COL5A1","Collagen Type V Alpha 1 Chain","Protein Coding","44","GC09P134641","16.942684173584","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL5A1"
"ILK","Integrin Linked Kinase","Protein Coding","45","GC11P006604","16.9325618743896","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ILK"
"KRT5","Keratin 5","Protein Coding","45","GC12M052514","16.7214984893799","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT5"
"LDB3","LIM Domain Binding 3","Protein Coding","40","GC10P086666","16.6597366333008","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LDB3"
"PLEC","Plectin","Protein Coding","41","GC08M144007","16.4092254638672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLEC"
"SOS1","SOS Ras/Rac Guanine Nucleotide Exchange Factor 1","Protein Coding","46","GC02M038981","16.3756637573242","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOS1"
"MT-CO3","Mitochondrially Encoded Cytochrome C Oxidase III","Protein Coding","31","GCMTP009209","16.0627384185791","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-CO3"
"TGFBR1","Transforming Growth Factor Beta Receptor 1","Protein Coding","51","GC09P099104","15.8371353149414","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR1"
"RYR2","Ryanodine Receptor 2","Protein Coding","46","GC01P237042","15.485107421875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RYR2"
"SCN5A","Sodium Voltage-Gated Channel Alpha Subunit 5","Protein Coding","48","GC03M038549","15.470682144165","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCN5A"
"MT-CO1","Mitochondrially Encoded Cytochrome C Oxidase I","Protein Coding","33","GCMTP005906","15.4181833267212","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-CO1"
"KLHL24","Kelch Like Family Member 24","Protein Coding","34","GC03P183635","15.2747745513916","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLHL24"
"ACE","Angiotensin I Converting Enzyme","Protein Coding","48","GC17P063477","15.2153835296631","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE"
"MPZ","Myelin Protein Zero","Protein Coding","42","GC01M161304","14.9466419219971","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPZ"
"MT-CO2","Mitochondrially Encoded Cytochrome C Oxidase II","Protein Coding","33","GCMTP007587","14.6124687194824","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-CO2"
"GJB2","Gap Junction Protein Beta 2","Protein Coding","45","GC13M020187","14.3540058135986","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GJB2"
"PMP22","Peripheral Myelin Protein 22","Protein Coding","40","GC17M015229","14.2665796279907","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMP22"
"CCN2","Cellular Communication Network Factor 2","Protein Coding","37","GC06M131948","14.1437969207764","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN2"
"FHL1","Four And A Half LIM Domains 1","Protein Coding","44","GC0XP136146","14.0996379852295","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FHL1"
"MMP9","Matrix Metallopeptidase 9","Protein Coding","51","GC20P046008","14.0274324417114","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP9"
"ELN","Elastin","Protein Coding","43","GC07P074027","13.9553337097168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELN"
"LOC106029312","Williams-Beuren Syndrome Medial Block B Recombination Region","Biological Region","2","GC07P074733","13.9249830245972","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC106029312"
"FBN1","Fibrillin 1","Protein Coding","44","GC15M048408","13.9227104187012","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBN1"
"TNF","Tumor Necrosis Factor","Protein Coding","48","GC06P064135","13.5840702056885","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"SMAD3","SMAD Family Member 3","Protein Coding","47","GC15P067063","13.457501411438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD3"
"DMD","Dystrophin","Protein Coding","45","GC0XM031097","13.4511194229126","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DMD"
"NOS1","Nitric Oxide Synthase 1","Protein Coding","48","GC12M117208","13.3294544219971","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS1"
"MT-ND1","Mitochondrially Encoded NADH:Ubiquinone Oxidoreductase Core Subunit 1","Protein Coding","32","GCMTP003309","12.8671007156372","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-ND1"
"TAFAZZIN","Tafazzin, Phospholipid-Lysophospholipid Transacylase","Protein Coding","32","GC0XP154413","12.7600469589233","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAFAZZIN"
"FOS","Fos Proto-Oncogene, AP-1 Transcription Factor Subunit","Protein Coding","48","GC14P075278","12.680811882019","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOS"
"VEGFA","Vascular Endothelial Growth Factor A","Protein Coding","46","GC06P043770","12.6275119781494","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA"
"TP53","Tumor Protein P53","Protein Coding","51","GC17M007661","12.5639400482178","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"GJB1","Gap Junction Protein Beta 1","Protein Coding","46","GC0XP071212","12.5185556411743","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GJB1"
"LAMA3","Laminin Subunit Alpha 3","Protein Coding","43","GC18P023689","12.0847396850586","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LAMA3"
"COL5A2","Collagen Type V Alpha 2 Chain","Protein Coding","40","GC02M189031","12.0241193771362","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL5A2"
"BMP6","Bone Morphogenetic Protein 6","Protein Coding","41","GC06P007726","11.9533462524414","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP6"
"IL6","Interleukin 6","Protein Coding","47","GC07P022725","11.9449644088745","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"RBM20","RNA Binding Motif Protein 20","Protein Coding","34","GC10P110644","11.7935380935669","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM20"
"MT-TH","Mitochondrially Encoded TRNA-His (CAU/C)","RNA Gene","13","GCMTP012140","11.7929906845093","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TH"
"TGFB3","Transforming Growth Factor Beta 3","Protein Coding","44","GC14M075958","11.7423515319824","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB3"
"C1R","Complement C1r","Protein Coding","45","GC12M007404","11.7236576080322","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1R"
"TGFBR2","Transforming Growth Factor Beta Receptor 2","Protein Coding","48","GC03P030623","11.7170763015747","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR2"
"CRYAB","Crystallin Alpha B","Protein Coding","43","GC11M111908","11.7042446136475","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRYAB"
"FXN","Frataxin","Protein Coding","44","GC09P069035","11.6981086730957","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FXN"
"CD36","CD36 Molecule","Protein Coding","46","GC07P080369","11.5987091064453","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD36"
"C1S","Complement C1s","Protein Coding","44","GC12P015386","11.5807657241821","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1S"
"PPARG","Peroxisome Proliferator Activated Receptor Gamma","Protein Coding","50","GC03P012287","11.5782766342163","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARG"
"COL3A1","Collagen Type III Alpha 1 Chain","Protein Coding","44","GC02P188974","11.4303894042969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL3A1"
"FAS","Fas Cell Surface Death Receptor","Protein Coding","48","GC10P088969","11.2334213256836","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS"
"KRT16","Keratin 16","Protein Coding","42","GC17M041609","11.1559810638428","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT16"
"NKX2-5","NK2 Homeobox 5","Protein Coding","44","GC05M173232","11.1541481018066","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NKX2-5"
"NDUFS4","NADH:Ubiquinone Oxidoreductase Subunit S4","Protein Coding","42","GC05P053560","11.1460027694702","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFS4"
"FLNA","Filamin A","Protein Coding","47","GC0XM154348","11.045280456543","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLNA"
"MT-TN","Mitochondrially Encoded TRNA-Asn (AAU/C)","RNA Gene","12","GCMTM005659","10.8326635360718","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TN"
"CAV1","Caveolin 1","Protein Coding","46","GC07P116524","10.7865600585938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAV1"
"AGTR1","Angiotensin II Receptor Type 1","Protein Coding","49","GC03P148697","10.7859334945679","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGTR1"
"MMP2","Matrix Metallopeptidase 2","Protein Coding","51","GC16P055390","10.7633838653564","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP2"
"IL1B","Interleukin 1 Beta","Protein Coding","46","GC02M112829","10.6463937759399","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B"
"RHOA","Ras Homolog Family Member A","Protein Coding","45","GC03M049359","10.6384935379028","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHOA"
"MAPK1","Mitogen-Activated Protein Kinase 1","Protein Coding","50","GC22M021759","10.5044794082642","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1"
"AKT1","AKT Serine/Threonine Kinase 1","Protein Coding","51","GC14M104769","10.4876308441162","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1"
"LRRC56","Leucine Rich Repeat Containing 56","Protein Coding","34","GC11P000518","10.4730777740479","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRC56"
"PDGFRB","Platelet Derived Growth Factor Receptor Beta","Protein Coding","52","GC05M150113","10.4271564483643","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFRB"
"FGF2","Fibroblast Growth Factor 2","Protein Coding","45","GC04P122826","10.4223661422729","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF2"
"GATA4","GATA Binding Protein 4","Protein Coding","47","GC08P011676","10.394434928894","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA4"
"MT-ND6","Mitochondrially Encoded NADH:Ubiquinone Oxidoreductase Core Subunit 6","Protein Coding","32","GCMTM014151","10.2300205230713","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-ND6"
"MIR21","MicroRNA 21","RNA Gene","23","GC17P059841","10.1243009567261","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR21"
"CACNA1C","Calcium Voltage-Gated Channel Subunit Alpha1 C","Protein Coding","47","GC12P001970","10.1016941070557","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1C"
"TIMP1","TIMP Metallopeptidase Inhibitor 1","Protein Coding","42","GC0XP047583","9.95383358001709","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMP1"
"SMAD4","SMAD Family Member 4","Protein Coding","48","GC18P051028","9.87926483154297","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD4"
"SMAD2","SMAD Family Member 2","Protein Coding","45","GC18M047809","9.80724430084229","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD2"
"NRAS","NRAS Proto-Oncogene, GTPase","Protein Coding","47","GC01M114704","9.7861795425415","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRAS"
"PLOD1","Procollagen-Lysine,2-Oxoglutarate 5-Dioxygenase 1","Protein Coding","40","GC01P011934","9.71752452850342","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLOD1"
"MT-ND5","Mitochondrially Encoded NADH:Ubiquinone Oxidoreductase Core Subunit 5","Protein Coding","32","GCMTP012339","9.66770076751709","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-ND5"
"MT-ND4","Mitochondrially Encoded NADH:Ubiquinone Oxidoreductase Core Subunit 4","Protein Coding","32","GCMTP010762","9.47796630859375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-ND4"
"TRMT5","TRNA Methyltransferase 5","Protein Coding","37","GC14M060971","9.43760299682617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRMT5"
"NPPA","Natriuretic Peptide A","Protein Coding","44","GC01M011846","9.41107749938965","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPPA"
"HLA-DRB1","Major Histocompatibility Complex, Class II, DR Beta 1","Protein Coding","45","GC06M032578","9.40526294708252","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DRB1"
"ATAD3A","ATPase Family AAA Domain Containing 3A","Protein Coding","38","GC01P002732","9.40504455566406","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATAD3A"
"SPP1","Secreted Phosphoprotein 1","Protein Coding","44","GC04P087975","9.40014457702637","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPP1"
"IL10","Interleukin 10","Protein Coding","45","GC01M206767","9.39285182952881","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10"
"FKBP14","FKBP Prolyl Isomerase 14","Protein Coding","38","GC07M030010","9.36710834503174","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FKBP14"
"ERCC8","ERCC Excision Repair 8, CSA Ubiquitin Ligase Complex Subunit","Protein Coding","40","GC05M060882","9.34188079833984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERCC8"
"HFE","Homeostatic Iron Regulator","Protein Coding","42","GC06P026087","9.34072208404541","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HFE"
"UQCRFS1","Ubiquinol-Cytochrome C Reductase, Rieske Iron-Sulfur Polypeptide 1","Protein Coding","44","GC19M029205","9.3304386138916","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UQCRFS1"
"BMP2","Bone Morphogenetic Protein 2","Protein Coding","44","GC20P006696","9.22208786010742","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP2"
"CTNNB1","Catenin Beta 1","Protein Coding","51","GC03P041236","9.21533298492432","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1"
"NDUFAF2","NADH:Ubiquinone Oxidoreductase Complex Assembly Factor 2","Protein Coding","38","GC05P060945","9.1960620880127","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFAF2"
"CASP3","Caspase 3","Protein Coding","48","GC04M184627","9.16853523254395","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP3"
"EDN1","Endothelin 1","Protein Coding","45","GC06P012256","9.03660297393799","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EDN1"
"CXCL8","C-X-C Motif Chemokine Ligand 8","Protein Coding","39","GC04P073740","9.03644371032715","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8"
"KRT17","Keratin 17","Protein Coding","44","GC17M041619","9.02942943572998","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT17"
"ACTB","Actin Beta","Protein Coding","47","GC07M005527","9.01665687561035","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTB"
"ABCC9","ATP Binding Cassette Subfamily C Member 9","Protein Coding","43","GC12M021797","9.01610565185547","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC9"
"PKP2","Plakophilin 2","Protein Coding","44","GC12M032790","9.01423740386963","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKP2"
"KCNQ1","Potassium Voltage-Gated Channel Subfamily Q Member 1","Protein Coding","48","GC11P002444","8.98848724365234","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNQ1"
"IGF1","Insulin Like Growth Factor 1","Protein Coding","47","GC12M102395","8.98717498779297","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1"
"FGFR3","Fibroblast Growth Factor Receptor 3","Protein Coding","52","GC04P001795","8.94723892211914","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR3"
"POLG","DNA Polymerase Gamma, Catalytic Subunit","Protein Coding","44","GC15M089428","8.94475173950195","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLG"
"KCNH2","Potassium Voltage-Gated Channel Subfamily H Member 2","Protein Coding","48","GC07M150944","8.92699337005615","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNH2"
"COL12A1","Collagen Type XII Alpha 1 Chain","Protein Coding","40","GC06M075084","8.87631607055664","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL12A1"
"JUN","Jun Proto-Oncogene, AP-1 Transcription Factor Subunit","Protein Coding","47","GC01M058780","8.85554027557373","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JUN"
"MFN2","Mitofusin 2","Protein Coding","46","GC01P011980","8.84437656402588","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MFN2"
"AGT","Angiotensinogen","Protein Coding","47","GC01M230702","8.83986473083496","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGT"
"EGF","Epidermal Growth Factor","Protein Coding","48","GC04P109912","8.83527755737305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGF"
"SDHA","Succinate Dehydrogenase Complex Flavoprotein Subunit A","Protein Coding","46","GC05P000208","8.68685436248779","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHA"
"HLA-A","Major Histocompatibility Complex, Class I, A","Protein Coding","45","GC06P064092","8.66258239746094","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-A"
"GATA1","GATA Binding Protein 1","Protein Coding","45","GC0XP048786","8.54491901397705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA1"
"TTR","Transthyretin","Protein Coding","47","GC18P031557","8.46240234375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTR"
"HLA-B","Major Histocompatibility Complex, Class I, B","Protein Coding","45","GC06M054132","8.41521644592285","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-B"
"EMD","Emerin","Protein Coding","43","GC0XP154379","8.40226554870605","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EMD"
"SOX9","SRY-Box Transcription Factor 9","Protein Coding","45","GC17P072121","8.37471580505371","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX9"
"ATP2A2","ATPase Sarcoplasmic/Endoplasmic Reticulum Ca2+ Transporting 2","Protein Coding","50","GC12P110280","8.351806640625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP2A2"
"EP300","E1A Binding Protein P300","Protein Coding","49","GC22P041091","8.2304220199585","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EP300"
"DSC2","Desmocollin 2","Protein Coding","44","GC18M031058","8.11402702331543","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DSC2"
"BSCL2","BSCL2 Lipid Droplet Biogenesis Associated, Seipin","Protein Coding","41","GC11M077341","8.08699035644531","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BSCL2"
